Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ALIRIOFON;20:CF:30:03:1F:B2;;8;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:10:59 2017;Mon Oct  2 18:11:05 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ARRIS-A012;BC:CA:B5:DC:A0:10;;3;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:10:59 2017;Mon Oct  2 18:11:06 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;814912535132;98:97:D1:53:69:C8;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;1;0;0;1;;;Mon Oct  2 18:10:58 2017;Mon Oct  2 18:11:07 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;123456789j;78:71:9C:08:50:30;;8;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Oct  2 18:10:59 2017;Mon Oct  2 18:11:05 2017;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;FibraETBD0BC;8C:E1:17:88:D0:BC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:10:57 2017;Mon Oct  2 18:11:04 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;FA:8F:CA:6E:01:AE;;8;No;OPN,None;No;54.0;0;4;0;0;0;0;0;;;Mon Oct  2 18:10:59 2017;Mon Oct  2 18:11:05 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;00:15:6D:1A:85:6E;;4;No;WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:11:01 2017;Mon Oct  2 18:11:03 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;CRISTIAN;CC:7B:35:A2:A1:E8;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:11:00 2017;Mon Oct  2 18:11:04 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;JOSE MENDEZ;70:54:D2:33:18:E4;;9;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:11:00 2017;Mon Oct  2 18:11:07 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;LEIDY;94:87:7C:64:36:20;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;1;0;0;1;;;Mon Oct  2 18:10:59 2017;Mon Oct  2 18:11:07 2017;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;HouseofPain;04:A1:51:E0:CE:26;;8;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Mon Oct  2 18:10:58 2017;Mon Oct  2 18:11:07 2017;-23;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Tech_D0016651;D0:B2:C4:22:5B:BC;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;7;0;0;0;0;0;;;Mon Oct  2 18:10:57 2017;Mon Oct  2 18:11:06 2017;-44;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;ZAMORAM;E4:77:23:71:DE:14;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;8;0;0;0;0;0;;;Mon Oct  2 18:10:57 2017;Mon Oct  2 18:11:06 2017;-42;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Wi-Fi;06:A1:51:E0:CE:27;;8;No;WPA2,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Mon Oct  2 18:10:57 2017;Mon Oct  2 18:11:07 2017;-37;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;8C:04:FF:BE:18:E8;;6;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Oct  2 18:11:03 2017;Mon Oct  2 18:11:03 2017;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;ARRIS-0492;BC:CA:B5:D8:04:90;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:11:03 2017;Mon Oct  2 18:11:03 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;GinnaSuarez;90:1A:CA:A3:0B:00;;1;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Oct  2 18:11:04 2017;Mon Oct  2 18:11:04 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;DIONY;90:1A:CA:C9:5E:D0;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Mon Oct  2 18:11:04 2017;Mon Oct  2 18:11:04 2017;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
